x,y,polarity,timestamp
253,330,1,684
180,334,0,685
170,253,1,685
224,295,0,686
323,299,0,686
193,269,1,686
200,327,0,686
249,340,1,688
301,252,1,688
293,251,1,688
170,254,1,689
257,341,1,689
175,272,0,689
170,299,0,689
252,341,1,689
206,319,0,690
164,328,0,690
308,301,0,690
326,285,0,690
225,348,1,691
269,306,1,691
199,309,1,691
224,298,0,691
294,302,0,691
164,327,0,692
220,245,0,692
305,253,1,692
291,277,1,692
242,319,1,693
293,252,1,694
172,298,0,694
290,272,0,695
260,260,1,695
322,255,1,695
169,312,0,695
163,307,0,696
243,320,1,696
174,297,0,697
188,260,1,697
233,300,1,698
308,253,1,698
199,308,1,699
170,255,1,699
316,298,0,700
288,2,1,700
160,317,0,700
307,260,1,700
224,297,0,700
192,334,0,700
265,314,1,701
173,264,1,703
317,300,0,703
191,263,0,704
301,287,0,704
208,318,0,705
171,322,1,705
167,257,1,706
200,309,1,706
312,259,0,706
210,300,1,706
179,305,0,707
216,243,0,707
209,317,0,708
257,336,1,708
324,287,0,709
168,268,1,709
306,251,1,710
183,326,0,711
191,313,1,711
209,261,1,712
168,332,0,712
320,254,1,712
164,329,0,712
291,266,1,713
256,334,1,713
226,300,0,713
253,344,1,714
205,308,1,714
243,301,0,714
185,312,0,714
197,315,0,715
259,261,1,715
168,270,1,716
188,261,1,716
184,326,0,716
294,278,1,717
306,274,1,717
190,275,0,717
165,262,1,718
242,348,1,719
216,349,1,720
165,304,0,720
306,303,0,720
167,259,1,721
320,256,1,721
161,312,0,722
186,285,1,723
165,263,1,724
215,243,0,725
282,255,1,725
628,398,1,725
271,257,1,726
175,315,1,727
164,306,0,727
258,286,1,728
295,269,0,728
190,304,0,728
297,252,1,728
226,246,0,729
322,302,0,729
282,302,0,729
195,263,0,730
336,296,0,731
177,250,1,731
290,275,1,732
167,256,1,733
218,317,0,733
160,319,0,734
230,248,0,734
201,247,0,735
229,315,0,735
181,324,0,735
164,326,0,735
334,295,0,736
184,328,0,737
161,320,0,737
196,309,1,738
161,321,0,738
626,400,1,738
176,302,0,739
230,249,0,739
272,289,1,740
225,245,0,740
196,310,1,741
252,345,1,742
244,338,1,742
252,336,1,742
238,303,0,742
283,300,0,742
241,301,0,742
230,250,0,743
269,319,1,743
301,263,0,744
196,327,0,744
228,348,1,745
233,329,1,745
228,291,0,746
171,299,0,746
258,336,1,747
334,297,0,747
198,309,1,748
304,302,0,748
173,313,1,748
307,261,1,749
328,300,0,750
347,292,0,751
188,345,0,751
163,318,0,752
223,244,0,752
212,243,0,753
227,248,0,753
289,276,1,754
169,271,1,756
205,291,1,757
177,266,1,757
186,262,1,757
297,251,1,758
257,288,1,758
218,337,1,758
292,275,1,758
233,342,1,759
311,253,1,759
209,309,0,760
188,285,1,760
239,315,1,760
179,279,1,761
295,300,0,761
191,312,1,761
191,262,0,761
219,316,0,761
290,301,0,762
229,255,0,762
177,338,0,762
223,254,0,762
197,309,1,763
316,302,0,763
162,316,0,764
165,307,0,764
164,305,0,764
312,303,0,765
316,300,0,765
328,295,0,765
222,294,0,766
232,292,0,766
321,298,0,767
273,255,1,767
162,309,0,768
266,307,1,768
167,303,0,768
261,287,0,769
177,315,1,769
233,328,1,771
226,350,1,771
225,302,0,771
181,258,1,771
242,343,1,771
253,338,1,772
284,292,1,772
180,281,1,772
247,336,1,773
293,253,1,773
191,289,0,773
188,326,0,774
213,247,1,774
190,314,1,774
232,329,1,775
217,302,0,775
305,268,0,775
182,274,1,776
179,277,1,776
215,301,0,776
326,296,0,776
319,289,0,776
189,341,0,776
232,254,0,777
227,345,1,777
225,301,0,778
166,304,0,778
316,296,0,780
321,302,0,780
290,253,1,781
165,308,0,781
218,242,0,782
238,324,1,783
209,260,1,783
203,317,1,783
231,330,1,783
316,280,0,783
246,338,1,783
228,346,1,784
168,271,1,784
278,256,1,785
174,335,0,785
186,282,1,786
210,293,1,787
309,278,1,787
290,252,1,787
322,290,1,788
193,278,1,788
180,280,1,789
246,339,1,789
181,337,0,789
175,266,1,789
168,261,1,789
162,310,0,789
313,299,0,790
331,299,0,790
172,276,1,791
209,257,0,791
274,326,1,791
290,290,1,792
220,246,0,792
306,253,1,792
215,305,1,793
164,304,0,793
201,329,0,793
192,311,1,794
327,301,0,794
199,314,0,795
164,324,0,795
228,331,1,795
174,308,0,795
198,305,0,796
232,250,0,796
204,243,0,796
208,293,1,797
230,345,1,797
208,247,0,797
348,290,0,797
198,335,0,798
286,255,1,798
219,294,0,798
224,334,1,799
222,245,0,799
184,281,1,800
280,302,0,800
192,312,1,801
163,308,0,801
256,316,1,802
238,323,1,802
285,282,1,803
265,331,1,803
174,251,1,804
265,336,1,804
292,252,1,804
248,347,1,804
177,316,1,805
209,290,1,805
225,346,1,805
184,267,1,805
244,326,0,806
210,292,1,806
281,283,1,806
314,293,1,806
228,295,0,806
216,248,1,807
221,293,0,808
269,324,1,808
238,301,0,808
190,313,1,809
296,270,0,810
185,268,1,810
190,274,0,810
193,311,1,810
232,333,0,810
215,304,1,811
313,293,1,811
214,247,1,811
337,268,1,811
327,303,0,812
202,248,0,812
160,314,0,812
290,266,1,812
245,334,1,812
176,276,1,813
315,291,0,813
162,320,0,814
166,271,1,814
232,249,0,814
248,340,1,815
206,312,0,815
185,267,1,815
245,339,1,815
178,272,0,816
189,306,0,817
198,310,1,817
229,336,0,818
169,256,1,818
186,291,0,818
167,264,1,818
178,278,1,819
209,252,1,820
209,301,1,820
164,267,1,820
261,326,1,821
269,310,1,821
167,265,1,821
167,270,1,822
182,253,1,823
177,301,0,823
280,255,1,823
218,283,0,824
180,259,1,824
161,319,0,824
228,302,0,824
340,298,0,824
259,322,1,825
175,296,0,825
298,256,0,825
231,253,0,825
170,270,1,828
296,275,1,828
167,266,1,828
327,287,1,829
174,281,1,829
219,308,1,829
207,242,0,829
230,330,1,830
175,265,1,830
287,290,1,830
341,275,1,830
295,252,1,831
228,332,1,832
185,297,0,832
188,327,0,833
175,295,0,834
179,267,1,834
170,275,1,834
197,325,0,834
268,328,1,834
217,308,1,835
314,256,1,835
321,288,0,835
260,259,1,835
167,263,1,835
231,249,0,836
195,314,0,836
200,319,0,836
267,308,1,836
166,306,0,836
311,261,1,837
221,245,0,838
208,294,1,838
225,334,1,839
176,296,0,839
166,260,1,841
233,334,0,841
166,309,0,841
187,318,0,842
271,258,1,843
294,274,1,844
213,251,0,844
174,265,1,844
172,267,0,845
163,310,0,845
305,257,0,845
166,272,1,846
169,272,1,846
162,313,0,846
196,248,0,846
190,326,0,847
195,328,0,848
298,301,0,848
208,252,1,849
305,258,0,849
212,322,0,851
328,283,0,851
176,265,1,852
204,258,1,853
232,338,1,853
272,323,1,853
188,266,0,854
323,290,1,854
236,326,1,854
201,308,1,855
261,337,1,855
211,303,1,855
282,301,0,856
226,302,0,856
323,287,0,856
199,260,1,857
227,332,1,857
188,342,0,857
165,329,0,858
289,252,1,859
172,273,1,859
165,305,0,860
172,325,1,860
306,272,0,860
229,331,1,860
217,348,1,861
246,342,1,861
266,321,1,862
207,300,1,862
221,345,1,863
196,313,0,863
295,253,1,864
269,272,1,864
169,316,0,865
178,307,0,865
204,254,0,865
188,273,0,865
300,253,1,865
192,264,0,866
166,303,0,866
166,267,1,866
178,294,0,867
217,301,0,867
213,337,0,867
260,327,1,868
165,306,0,868
263,324,1,868
535,14,0,870
238,317,1,871
295,265,1,871
165,261,1,872
224,347,1,873
192,285,1,873
264,260,1,873
273,256,1,874
290,254,1,874
198,285,0,874
179,318,1,874
161,310,0,875
288,256,0,877
251,342,1,877
163,306,0,878
232,251,0,878
270,329,1,878
176,278,1,879
235,326,1,879
171,272,1,880
167,272,1,882
291,253,1,882
169,299,0,882
161,318,0,882
184,260,1,882
270,321,1,882
240,327,0,883
235,327,1,883
277,289,1,883
209,302,1,883
171,274,1,884
231,329,1,884
238,344,1,884
196,314,0,884
317,253,1,885
322,288,0,885
224,345,1,886
288,273,0,886
275,258,1,886
214,328,1,887
183,293,0,887
292,253,1,888
288,253,1,888
176,312,0,888
174,314,1,888
161,313,0,888
179,252,1,889
337,267,1,889
180,318,1,889
211,291,1,889
263,331,1,890
206,325,0,890
274,324,1,890
190,269,1,890
338,294,0,891
178,248,1,892
234,343,1,892
290,277,1,893
274,257,1,893
236,317,1,894
201,323,0,894
318,297,0,895
201,309,1,895
318,301,0,895
170,321,1,895
254,338,1,896
219,299,1,896
539,5,1,897
310,274,1,897
208,300,1,897
214,244,0,898
183,285,1,898
194,284,0,898
206,254,0,899
228,345,1,900
248,345,1,901
198,274,1,901
272,268,0,902
312,282,0,902
241,320,1,903
228,313,0,904
172,277,1,904
169,302,0,905
270,314,1,905
173,319,0,905
186,269,1,906
616,453,1,906
206,260,1,907
206,307,1,907
259,331,1,907
186,341,0,907
233,253,0,908
298,270,0,908
195,309,1,908
296,251,1,909
266,325,1,909
289,253,1,909
209,245,1,909
167,269,1,909
304,252,1,910
270,312,1,910
164,310,0,911
172,252,1,912
168,300,0,912
207,241,0,912
179,268,1,912
171,275,1,912
174,337,0,913
230,331,1,913
195,264,0,913
271,311,1,913
167,267,1,914
258,287,1,914
332,300,0,914
222,295,0,914
198,264,0,915
246,350,1,915
237,316,1,915
201,293,1,916
166,305,0,916
183,281,1,917
185,281,1,917
202,307,1,917
225,291,0,918
235,349,1,918
173,298,0,918
623,451,1,918
162,322,0,919
199,313,0,920
203,307,1,920
172,274,1,921
205,325,0,921
247,347,1,922
198,308,1,923
207,259,1,923
232,252,0,923
267,331,1,923
182,343,0,924
209,249,0,924
260,293,1,925
299,269,0,925
223,319,0,925
259,329,1,926
218,293,0,928
200,295,1,928
166,263,1,929
209,242,0,930
167,302,0,930
299,252,1,931
291,272,0,932
245,335,1,933
201,313,0,934
188,258,1,934
176,310,0,934
306,258,0,935
229,248,0,936
351,290,0,937
171,252,1,938
322,279,0,938
311,302,0,938
213,320,0,938
168,257,1,939
221,308,0,939
315,300,0,939
234,348,1,940
246,340,1,940
167,305,0,941
195,310,1,941
193,303,0,941
316,301,0,942
352,295,0,943
226,342,1,943
188,310,0,943
338,297,0,944
184,280,1,944
250,339,1,945
166,262,1,945
278,258,1,946
304,258,0,946
269,312,1,946
284,254,1,947
191,288,0,947
228,347,1,947
184,284,1,947
170,264,1,948
182,268,1,948
188,271,0,948
300,252,1,949
166,269,1,949
169,300,0,949
279,257,1,949
264,326,1,950
238,316,1,950
211,292,1,950
341,292,0,950
203,257,0,951
223,296,0,951
294,252,1,952
346,292,0,952
308,260,1,953
211,250,0,953
224,296,0,953
188,295,0,954
241,307,0,955
200,255,0,955
207,292,1,955
178,255,1,955
180,258,1,955
252,340,1,956
261,316,1,957
483,41,1,957
324,289,1,957
178,256,1,957
218,243,0,957
300,276,1,958
320,289,0,958
170,273,1,960
282,291,1,961
298,252,1,961
174,249,1,961
239,313,1,961
197,301,0,961
189,287,1,962
188,268,1,962
264,319,1,963
263,327,1,964
161,323,0,964
324,257,1,965
170,299,0,965
198,327,0,966
192,305,0,967
308,293,0,968
226,333,1,969
248,336,1,969
203,243,0,971
165,264,1,971
212,293,1,971
236,318,1,972
333,277,0,973
194,278,1,973
192,314,1,973
199,307,1,974
175,311,0,974
167,258,1,974
622,477,1,974
248,341,1,975
301,253,1,975
232,253,0,976
218,325,1,976
237,325,1,976
306,260,1,976
187,267,1,977
183,280,1,977
322,273,1,977
167,261,1,978
178,295,0,978
277,265,1,978
175,269,0,979
181,284,1,979
205,312,0,979
306,261,1,980
217,248,1,980
196,308,1,980
296,271,0,981
193,263,0,981
162,308,0,981
184,340,0,981
162,309,0,982
283,301,0,982
311,301,0,983
187,330,0,984
224,304,0,984
194,319,0,984
248,337,1,985
178,269,0,985
173,276,1,986
214,246,1,987
214,293,1,987
222,308,0,987
182,307,1,988
295,299,0,988
266,330,1,989
226,332,1,990
185,329,0,990
344,291,0,990
258,329,1,991
282,254,1,993
162,318,0,994
169,301,0,994
187,290,0,994
319,275,1,994
194,311,1,995
245,310,1,995
262,312,1,997
239,343,1,997
319,303,0,997
199,319,0,997
281,256,1,998
177,269,0,998
194,264,0,999
228,312,0,1000
163,325,0,1000
276,325,1,1000
198,242,0,1000
256,289,1,1001
182,267,1,1001
295,272,0,1001
309,299,0,1001
283,255,1,1001
285,262,0,1001
187,327,0,1002
230,256,0,1002
314,291,0,1002
184,299,0,1002
223,349,1,1003
164,313,0,1004
173,297,0,1004
182,280,1,1004
189,286,1,1005
160,320,0,1006
177,279,1,1006
179,317,1,1006
608,465,0,1007
240,321,1,1007
170,274,1,1007
279,256,1,1008
272,309,1,1008
219,243,0,1009
161,314,0,1009
213,348,1,1009
234,327,1,1009
229,341,1,1009
239,322,1,1009
323,297,0,1010
283,322,1,1013
227,316,0,1014
194,310,1,1014
191,313,1,1014
252,338,1,1015
194,326,0,1015
178,317,1,1016
225,299,0,1017
164,307,0,1017
168,302,0,1017
278,296,0,1017
163,312,0,1017
249,338,1,1018
212,251,0,1019
166,313,0,1019
220,294,0,1020
326,259,1,1021
210,245,1,1022
178,249,1,1022
201,307,1,1023
175,278,1,1023
165,328,0,1023
162,314,0,1023
166,331,0,1023
331,297,0,1024
315,256,1,1025
240,293,0,1025
217,311,0,1025
307,253,1,1025
163,319,0,1026
208,256,0,1026
199,259,1,1026
176,272,0,1028
297,301,0,1028
272,265,0,1029
212,305,1,1029
164,308,0,1030
187,268,1,1030
593,459,1,1030
317,282,1,1030
220,324,1,1031
243,340,1,1031
227,247,0,1032
315,253,1,1032
309,259,0,1033
280,254,1,1033
317,290,0,1034
186,267,1,1034
162,324,0,1034
181,338,0,1035
310,285,0,1035
175,277,1,1035
161,312,0,1036
488,1,0,1036
225,300,0,1037
191,312,1,1037
184,283,1,1037
171,264,1,1037
173,296,0,1038
165,309,0,1039
163,315,0,1039
206,300,1,1040
207,324,0,1040
287,254,1,1040
213,294,1,1040
187,285,1,1040
268,259,1,1042
204,308,1,1042
265,260,1,1044
176,316,1,1044
169,259,1,1045
175,249,1,1045
172,333,0,1045
305,289,0,1045
222,293,0,1045
316,292,1,1046
164,312,0,1046
212,247,1,1047
166,266,1,1047
162,312,0,1047
319,299,0,1048
288,252,1,1048
310,253,1,1049
206,295,1,1049
246,293,0,1050
191,311,1,1051
215,322,0,1051
209,300,1,1051
272,258,1,1051
166,270,1,1051
266,276,1,1052
327,299,0,1052
181,292,0,1052
194,298,1,1052
217,250,1,1052
203,308,1,1053
269,328,1,1054
277,326,1,1054
190,313,1,1056
214,300,0,1056
310,263,1,1057
171,309,1,1057
287,282,1,1058
266,326,1,1058
186,288,1,1058
216,302,0,1058
165,255,1,1058
243,298,0,1059
168,320,1,1059
165,321,0,1060
179,257,1,1061
214,301,0,1062
219,286,0,1062
264,327,1,1063
201,295,1,1063
205,334,0,1063
174,277,1,1064
298,277,1,1064
285,255,1,1064
181,279,1,1064
253,333,1,1065
287,253,1,1066
163,309,0,1066
230,247,0,1066
205,311,0,1067
190,284,1,1068
290,303,0,1068
277,320,1,1068
163,326,0,1069
294,272,0,1069
191,328,0,1069
344,299,0,1070
166,268,1,1070
174,296,0,1070
327,259,1,1071
168,301,0,1071
285,263,0,1072
258,290,1,1072
217,318,0,1072
192,269,1,1072
241,291,0,1072
201,322,0,1073
161,317,0,1074
176,262,0,1075
224,290,0,1075
226,301,0,1075
169,255,1,1075
172,312,1,1076
166,264,1,1076
276,256,1,1076
302,258,0,1076
193,310,1,1076
310,252,1,1077
178,267,1,1077
178,279,1,1077
192,303,0,1078
190,312,1,1078
223,345,1,1078
197,297,1,1079
258,324,1,1079
278,289,1,1081
240,302,0,1081
186,286,1,1081
315,281,0,1082
181,267,1,1082
173,331,0,1083
172,299,0,1083
189,284,1,1083
318,289,0,1084
185,292,0,1084
197,308,1,1084
342,293,0,1085
326,299,0,1085
324,300,0,1086
160,313,0,1087
211,243,0,1088
225,322,1,1089
341,294,0,1089
230,301,0,1090
174,301,1,1090
270,322,1,1092
350,286,0,1092
222,244,0,1092
234,314,0,1093
211,254,1,1094
182,340,0,1094
268,258,1,1094
206,253,0,1095
178,282,1,1096
198,307,1,1098
266,312,1,1098
191,314,1,1098
176,273,0,1098
227,349,1,1098
189,273,0,1099
273,281,1,1099
167,331,0,1099
185,330,0,1099
325,257,1,1099
186,330,0,1100
171,308,1,1100
193,312,1,1100
192,290,0,1101
262,328,1,1102
277,256,1,1102
303,252,1,1102
205,250,0,1103
174,276,1,1103
293,300,0,1103
196,263,0,1104
177,306,0,1104
241,342,1,1105
273,311,1,1106
230,335,0,1106
181,281,1,1106
506,28,1,1107
204,242,0,1107
282,253,1,1108
167,271,1,1108
269,258,1,1108
237,318,1,1108
246,316,1,1108
308,262,1,1109
228,247,0,1109
225,350,1,1110
257,328,1,1110
287,301,0,1111
179,270,0,1111
181,282,1,1111
287,257,0,1112
172,297,0,1114
274,256,1,1115
225,333,1,1115
208,319,0,1115
260,320,1,1117
227,301,0,1118
310,262,1,1118
358,283,0,1118
237,344,1,1118
230,297,0,1118
319,255,1,1119
346,289,0,1119
180,267,1,1120
193,246,0,1120
288,271,0,1120
324,301,0,1121
162,326,0,1121
168,265,1,1122
340,297,0,1123
266,259,1,1123
187,328,0,1123
208,243,0,1123
304,272,0,1123
211,251,0,1124
183,267,1,1124
332,270,0,1125
183,298,0,1126
189,285,1,1126
222,335,1,1126
309,252,1,1126
162,323,0,1126
234,331,0,1126
182,308,1,1127
184,268,1,1127
184,291,0,1127
171,251,1,1128
193,270,1,1129
298,280,1,1129
203,292,1,1129
200,294,1,1130
279,260,0,1130
230,330,1,1131
178,318,1,1131
268,314,1,1131
302,252,1,1131
263,323,1,1132
181,280,1,1132
166,265,1,1133
194,263,0,1133
163,324,0,1133
288,289,1,1134
337,274,1,1134
231,252,0,1134
215,255,0,1135
208,306,1,1135
200,308,1,1136
219,293,0,1136
184,296,0,1138
172,324,1,1138
224,333,1,1139
321,255,1,1140
267,323,1,1141
176,250,1,1141
320,255,1,1142
251,339,1,1142
332,276,0,1143
162,311,0,1143
181,294,0,1144
290,282,1,1144
262,324,1,1145
213,293,1,1146
303,264,0,1147
219,244,0,1147
183,292,0,1148
273,257,1,1149
165,304,0,1149
221,323,1,1149
162,307,0,1150
167,301,0,1150
173,299,0,1150
233,328,1,1150
233,331,0,1151
267,328,1,1151
299,256,0,1151
210,302,1,1152
165,303,0,1153
262,329,1,1153
168,255,1,1153
312,302,0,1154
321,291,1,1154
187,308,0,1154
189,269,1,1155
171,298,0,1155
273,277,1,1156
273,325,1,1156
275,257,1,1156
196,309,1,1156
291,252,1,1156
205,293,1,1157
326,258,1,1157
183,284,1,1157
347,298,0,1158
213,242,0,1158
231,334,0,1158
228,248,0,1159
189,336,0,1159
169,331,0,1160
231,313,0,1160
179,266,1,1161
266,319,1,1162
330,279,0,1162
215,309,1,1162
264,316,1,1163
168,258,1,1163
204,255,0,1163
172,275,1,1164
272,259,1,1166
236,346,1,1166
328,261,1,1167
204,259,1,1167
233,252,0,1168
192,271,1,1168
288,283,1,1168
288,254,1,1168
199,317,1,1169
230,257,0,1169
288,272,0,1169
274,327,1,1169
161,315,0,1171
218,256,1,1171
161,316,0,1172
186,344,0,1172
542,34,1,1172
187,286,1,1174
169,273,1,1174
192,311,1,1174
227,246,0,1175
298,276,1,1175
234,309,0,1176
193,264,0,1177
187,287,1,1177
239,323,1,1178
228,249,0,1179
266,261,1,1180
161,311,0,1180
307,285,0,1181
178,283,1,1181
280,289,1,1182
278,255,1,1182
186,293,0,1182
327,285,0,1183
291,275,1,1183
162,321,0,1183
196,267,0,1184
269,259,1,1185
243,342,1,1185
197,302,0,1186
182,326,0,1186
232,329,1,1186
308,299,0,1186
216,247,1,1186
210,260,1,1187
167,304,0,1187
255,338,1,1188
318,254,1,1188
252,342,1,1189
178,258,1,1189
186,283,1,1190
173,320,0,1190
318,255,1,1190
202,312,0,1191
272,334,1,1191
183,268,1,1191
201,258,1,1192
168,322,1,1192
261,340,1,1193
189,300,1,1193
268,257,1,1194
260,337,1,1194
264,334,1,1195
264,280,1,1195
263,312,1,1195
333,297,0,1196
263,313,1,1196
236,347,1,1196
211,301,1,1197
178,316,1,1197
294,253,1,1197
273,258,1,1197
224,350,1,1197
233,315,0,1197
318,290,0,1198
322,284,0,1199
284,255,1,1200
272,312,1,1200
349,290,0,1200
209,331,1,1200
283,254,1,1201
283,283,1,1201
277,255,1,1201
237,324,1,1201
164,306,0,1201
290,273,0,1201
211,241,0,1202
302,302,0,1202
169,322,1,1202
172,268,0,1203
167,332,0,1204
168,273,1,1204
332,271,0,1204
295,277,1,1205
240,340,1,1207
206,330,1,1207
263,314,1,1207
315,255,1,1207
246,344,1,1207
173,251,1,1208
327,298,0,1209
252,335,1,1209
271,330,1,1210
193,311,1,1211
179,278,1,1211
229,247,0,1211
281,276,1,1212
162,315,0,1213
161,309,0,1213
231,251,0,1214
221,335,1,1216
198,309,1,1216
176,315,1,1216
205,292,1,1217
286,301,0,1217
327,258,1,1217
224,346,1,1217
604,447,1,1218
164,305,0,1218
208,259,1,1218
223,334,1,1218
219,250,1,1220
193,342,0,1220
230,248,0,1220
176,261,0,1221
216,338,1,1222
214,306,1,1222
268,322,1,1222
212,246,1,1222
187,343,0,1223
238,345,1,1224
335,273,1,1224
175,316,1,1224
283,256,1,1225
286,253,1,1225
196,259,1,1225
227,332,1,1226
163,306,0,1227
163,307,0,1227
258,339,1,1227
166,261,1,1228
261,335,1,1229
172,251,1,1229
228,335,0,1229
235,332,0,1230
178,276,1,1230
172,335,0,1231
230,343,1,1231
167,262,1,1231
226,298,0,1232
262,323,1,1232
176,277,1,1234
176,339,0,1234
218,248,1,1234
264,328,1,1234
222,311,0,1235
231,330,1,1236
286,254,1,1237
256,339,1,1237
178,294,0,1238
166,259,1,1238
304,299,0,1239
211,309,0,1240
340,294,0,1240
231,250,0,1240
294,300,0,1241
162,316,0,1241
319,278,0,1241
230,304,0,1242
199,256,0,1242
289,303,0,1243
170,329,0,1243
297,299,0,1244
298,253,1,1245
296,252,1,1246
524,12,0,1246
170,272,1,1248
169,257,1,1248
312,292,0,1249
223,245,0,1249
167,302,0,1249
179,293,0,1252
273,272,1,1252
200,334,0,1252
312,273,1,1252
253,336,1,1253
175,251,1,1253
181,270,0,1253
219,292,0,1253
256,331,1,1255
209,256,0,1255
322,296,0,1256
174,315,1,1256
260,290,1,1256
279,318,1,1256
161,318,0,1257
322,256,1,1258
297,253,1,1258
176,268,0,1259
295,270,0,1259
239,345,1,1259
261,328,1,1259
163,308,0,1259
305,282,1,1260
317,267,1,1260
229,301,0,1260
236,296,0,1261
308,259,0,1262
232,251,0,1262
263,322,1,1262
165,266,1,1262
234,328,1,1263
201,292,1,1263
173,277,1,1264
171,262,1,1264
165,267,1,1264
168,256,1,1265
197,309,1,1265
305,252,1,1266
301,265,1,1266
246,335,1,1266
179,279,1,1266
223,344,1,1267
304,268,0,1267
229,343,1,1267
304,300,0,1268
161,320,0,1268
171,300,0,1268
279,255,1,1268
232,350,1,1269
207,331,1,1269
238,324,1,1269
210,301,1,1270
354,285,0,1270
317,256,1,1271
200,293,1,1271
190,263,0,1271
302,274,1,1272
320,302,0,1273
255,334,1,1273
265,259,1,1275
263,338,1,1275
173,323,1,1276
167,316,0,1276
196,341,0,1276
181,266,1,1276
178,266,1,1277
166,303,0,1277
234,344,1,1277
208,249,0,1278
188,328,0,1278
174,323,1,1279
186,326,0,1279
345,289,0,1280
169,253,1,1280
338,301,0,1281
309,253,1,1281
187,259,1,1281
310,259,0,1282
175,268,0,1282
229,331,1,1282
165,263,1,1284
207,243,0,1284
316,267,1,1285
161,321,0,1285
297,297,0,1286
295,303,0,1286
168,257,1,1287
170,300,0,1288
317,299,0,1288
322,257,1,1289
218,309,0,1289
262,320,1,1289
181,328,0,1289
184,292,0,1290
190,288,0,1290
177,278,1,1291
215,242,0,1291
208,248,0,1292
291,265,1,1292
290,271,0,1292
259,317,1,1294
190,343,0,1294
211,246,1,1295
201,249,0,1296
232,343,1,1296
194,309,1,1296
261,317,1,1296
276,280,1,1298
236,331,0,1298
264,261,1,1298
343,274,1,1299
322,258,1,1299
221,244,0,1299
215,302,0,1300
179,337,0,1300
258,289,1,1300
161,322,0,1300
225,321,1,1301
185,260,1,1301
535,6,1,1301
249,343,1,1302
281,254,1,1302
245,345,1,1303
292,271,0,1303
217,321,0,1303
192,326,0,1304
209,259,1,1305
238,341,1,1305
241,340,1,1306
305,260,1,1306
255,343,1,1306
168,270,1,1307
227,347,1,1307
200,312,0,1307
182,283,1,1307
224,244,0,1308
170,259,1,1308
240,348,1,1308
180,293,0,1309
191,347,0,1309
177,277,1,1309
325,304,0,1310
192,310,1,1311
168,254,1,1311
258,288,1,1312
197,260,1,1312
167,259,1,1313
316,303,0,1313
164,327,0,1313
305,292,0,1313
211,249,0,1314
286,283,1,1314
206,258,1,1314
214,348,1,1314
306,252,1,1315
211,242,0,1315
281,282,1,1316
241,304,0,1316
325,298,0,1316
177,340,0,1316
276,302,0,1317
321,301,0,1317
306,271,0,1317
234,252,0,1318
202,335,0,1319
278,299,0,1319
167,260,1,1319
262,318,1,1320
310,258,0,1321
301,303,0,1321
309,251,1,1322
171,307,1,1322
171,324,1,1322
